,Country (or dependent territory),1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0
0,Afghanistan,,,,,,,,,,,,,197.0,197.0,214.0,248.0,270.0,325.0,381.0,435.0,540.0,615.0,680.0,660.0,659.0,627.0,582.0,572.0,610.0,647.0
1,Albania,672.0,410.0,262.0,456.0,752.0,917.0,1010.0,717.0,818.0,1032.0,1128.0,1284.0,1425.0,1846.0,2374.0,2674.0,2976.0,3594.0,4377.0,4131.0,4098.0,4439.0,4249.0,4416.0,4585.0,3936.0,4126.0,4520.0,4912.0,5184.0
2,Algeria,2474.0,1820.0,1873.0,1895.0,1543.0,1499.0,1643.0,1659.0,1633.0,1630.0,1795.0,1769.0,1807.0,2128.0,2636.0,3141.0,3509.0,3987.0,4944.0,3886.0,4481.0,5454.0,5575.0,5477.0,5466.0,4151.0,3902.0,4225.0,4250.0,4303.0
3,Angola,886.0,834.0,624.0,440.0,311.0,377.0,431.0,492.0,405.0,372.0,535.0,509.0,691.0,762.0,1024.0,1428.0,2053.0,2883.0,3898.0,3394.0,3599.0,4412.0,4745.0,4989.0,4916.0,3876.0,3485.0,4401.0,4763.0,4692.0
4,Antigua and Barbuda,7623.0,7928.0,8084.0,8474.0,9097.0,8675.0,9266.0,9678.0,10075.0,10350.0,10981.0,10415.0,10482.0,10893.0,11583.0,12738.0,14265.0,15996.0,16514.0,14617.0,13613.0,13347.0,14007.0,13646.0,14488.0,15283.0,16176.0,16826.0,17355.0,17952.0
5,Argentina,4710.0,6233.0,7420.0,7558.0,8126.0,8053.0,8385.0,8919.0,9005.0,8453.0,8387.0,7852.0,2898.0,3648.0,4314.0,5164.0,5976.0,7316.0,9147.0,8338.0,10413.0,12788.0,13890.0,14489.0,13209.0,14644.0,12494.0,14062.0,14342.0,15801.0
6,Armenia,,,31.0,248.0,197.0,400.0,504.0,522.0,608.0,597.0,621.0,692.0,779.0,923.0,1180.0,1628.0,2128.0,3079.0,3913.0,2912.0,3122.0,3417.0,3576.0,3732.0,3889.0,3529.0,3533.0,3690.0,3853.0,4046.0
7,Australia,18866.0,18677.0,18120.0,17475.0,19740.0,20960.0,23218.0,23050.0,20374.0,21767.0,20860.0,19443.0,21653.0,27257.0,32796.0,36179.0,37908.0,45163.0,49224.0,45604.0,56360.0,66773.0,68048.0,64734.0,61232.0,51220.0,51737.0,56135.0,58941.0,61251.0
8,Austria,21779.0,22571.0,25012.0,24099.0,25668.0,30289.0,29756.0,26683.0,27329.0,27152.0,24589.0,24511.0,26444.0,32177.0,36755.0,38319.0,40470.0,46653.0,51630.0,47786.0,46757.0,51193.0,48381.0,50533.0,51390.0,43705.0,44233.0,46436.0,49796.0,51375.0
9,Azerbaijan,,,160.0,175.0,297.0,313.0,409.0,506.0,541.0,572.0,648.0,665.0,748.0,864.0,1019.0,1541.0,2415.0,3759.0,5213.0,4933.0,5847.0,7106.0,7472.0,7937.0,8049.0,5396.0,3956.0,4098.0,4439.0,4752.0
10,Bahamas,16076.0,15487.0,15213.0,14869.0,15403.0,15882.0,16433.0,17198.0,18255.0,20198.0,20894.0,21201.0,22311.0,21971.0,22124.0,23714.0,24215.0,24988.0,24482.0,22952.0,22958.0,22647.0,23843.0,23925.0,23926.0,24310.0,23671.0,24511.0,25269.0,26040.0
11,Bahrain,10180.0,10252.0,10537.0,11290.0,11777.0,12143.0,12299.0,12422.0,11566.0,12210.0,14215.0,13894.0,13502.0,14486.0,15964.0,17966.0,19268.0,20908.0,23236.0,19465.0,20828.0,24080.0,25227.0,26172.0,26328.0,24063.0,24146.0,25170.0,25764.0,26167.0
12,Bangladesh,329.0,332.0,324.0,333.0,354.0,383.0,394.0,403.0,407.0,415.0,412.0,406.0,420.0,454.0,486.0,495.0,523.0,585.0,656.0,728.0,808.0,857.0,916.0,1030.0,1163.0,1293.0,1414.0,1532.0,1660.0,1795.0
13,Barbados,8095.0,8129.0,7829.0,8300.0,8186.0,8604.0,9167.0,9634.0,10835.0,11328.0,11600.0,11547.0,11705.0,12058.0,12887.0,14256.0,15705.0,16549.0,16692.0,16677.0,16080.0,15726.0,15593.0,15698.0,15597.0,15815.0,16237.0,17159.0,18205.0,18769.0
14,Belarus,,,1210.0,1076.0,1481.0,1000.0,1376.0,1342.0,1452.0,1166.0,1277.0,1247.0,1480.0,1812.0,2370.0,3116.0,3838.0,4726.0,6366.0,5170.0,6023.0,6473.0,6938.0,7977.0,8316.0,5941.0,4989.0,5585.0,5745.0,6021.0
15,Belgium,20229.0,20680.0,22953.0,21844.0,23754.0,28617.0,27750.0,25090.0,25605.0,25509.0,23303.0,23194.0,25197.0,30863.0,35723.0,37147.0,39022.0,44638.0,48851.0,45176.0,44691.0,47951.0,44900.0,46613.0,47635.0,40510.0,41248.0,43243.0,46316.0,47812.0
16,Belize,2180.0,2292.0,2603.0,2730.0,2752.0,2864.0,2889.0,2845.0,2888.0,3013.0,3331.0,3388.0,3516.0,3618.0,3743.0,3818.0,4041.0,4143.0,4252.0,4146.0,4321.0,4475.0,4617.0,4614.0,4781.0,4757.0,4630.0,4699.0,4776.0,4819.0
17,Benin,392.0,383.0,418.0,407.0,276.0,362.0,382.0,357.0,375.0,399.0,371.0,374.0,413.0,510.0,571.0,588.0,610.0,686.0,799.0,770.0,734.0,800.0,812.0,888.0,918.0,764.0,771.0,826.0,910.0,969.0
18,Bhutan,525.0,455.0,452.0,480.0,494.0,581.0,606.0,668.0,716.0,731.0,773.0,783.0,843.0,933.0,1056.0,1172.0,1288.0,1502.0,1865.0,1721.0,1999.0,2382.0,2445.0,2452.0,2388.0,2603.0,2681.0,2887.0,3217.0,3672.0
19,Bolivia,723.0,778.0,805.0,795.0,805.0,886.0,956.0,1006.0,1058.0,1011.0,1005.0,960.0,915.0,918.0,980.0,1049.0,1241.0,1400.0,1749.0,1790.0,1995.0,2395.0,2665.0,2970.0,3147.0,3099.0,3125.0,3412.0,3648.0,3878.0
20,Bosnia and Herzegovina,,,,,,,983.0,1219.0,1445.0,1548.0,1469.0,1523.0,1753.0,2197.0,2612.0,2790.0,3179.0,3912.0,4784.0,4508.0,4404.0,4789.0,4431.0,4682.0,4785.0,4187.0,4298.0,4540.0,4837.0,5076.0
21,Botswana,2751.0,2674.0,2684.0,2630.0,2756.0,2984.0,3006.0,3026.0,2842.0,3174.0,3302.0,3091.0,3018.0,4119.0,4842.0,5346.0,5347.0,5677.0,5641.0,5206.0,6854.0,7551.0,7154.0,7125.0,7728.0,6781.0,7227.0,7674.0,7952.0,8164.0
22,Brazil,3172.0,2735.0,2577.0,2846.0,3569.0,4950.0,5208.0,5327.0,5132.0,3508.0,3779.0,3184.0,2859.0,3091.0,3659.0,4816.0,5913.0,7375.0,8855.0,8625.0,11298.0,13242.0,12367.0,12295.0,12112.0,8810.0,8727.0,10020.0,10515.0,10913.0
23,Brunei,15423.0,15773.0,17386.0,16665.0,16141.0,18292.0,19282.0,19121.0,14526.0,16112.0,20511.0,18680.0,18846.0,20822.0,24295.0,28589.0,33254.0,34811.0,42679.0,31287.0,35437.0,47092.0,47641.0,44540.0,41509.0,30995.0,26935.0,27893.0,27601.0,29152.0
24,Bulgaria,2267.0,224.0,919.0,504.0,895.0,1514.0,1154.0,1228.0,1632.0,1674.0,1614.0,1784.0,2075.0,2690.0,3345.0,3839.0,4445.0,5813.0,7153.0,6860.0,6744.0,7837.0,7402.0,7703.0,7877.0,7017.0,7377.0,7924.0,8701.0,9204.0
25,Burkina Faso,352.0,346.0,361.0,335.0,196.0,236.0,249.0,229.0,256.0,267.0,227.0,238.0,262.0,333.0,373.0,408.0,421.0,475.0,572.0,553.0,584.0,666.0,673.0,699.0,701.0,616.0,658.0,696.0,753.0,799.0
26,Burundi,207.0,208.0,187.0,163.0,157.0,167.0,143.0,157.0,142.0,133.0,130.0,127.0,116.0,108.0,122.0,149.0,167.0,174.0,202.0,217.0,243.0,261.0,266.0,287.0,319.0,319.0,325.0,343.0,377.0,439.0
27,Cape Verde,957.0,975.0,1062.0,1046.0,1149.0,1342.0,1352.0,1293.0,1349.0,1502.0,1332.0,1365.0,1480.0,1909.0,2159.0,2278.0,2566.0,3130.0,3692.0,3524.0,3413.0,3801.0,3463.0,3614.0,3590.0,3043.0,3086.0,3213.0,3432.0,3612.0
28,Cambodia,100.0,216.0,252.0,242.0,265.0,320.0,316.0,302.0,268.0,294.0,300.0,320.0,338.0,361.0,406.0,471.0,536.0,628.0,742.0,735.0,782.0,878.0,945.0,1011.0,1091.0,1168.0,1278.0,1390.0,1496.0,1610.0
29,Cameroon,1086.0,1175.0,1045.0,1058.0,699.0,645.0,699.0,688.0,668.0,662.0,581.0,603.0,663.0,807.0,909.0,931.0,980.0,1085.0,1209.0,1176.0,1159.0,1271.0,1234.0,1345.0,1424.0,1230.0,1238.0,1263.0,1329.0,1386.0
30,Canada,21495.0,21807.0,20915.0,20146.0,19963.0,20642.0,21257.0,21858.0,20975.0,22261.0,24221.0,23777.0,24210.0,28242.0,32075.0,36316.0,40442.0,44599.0,46661.0,40831.0,47513.0,52144.0,52577.0,52494.0,50510.0,43350.0,42225.0,44773.0,47658.0,49196.0
31,Central African Republic,540.0,503.0,490.0,419.0,268.0,341.0,298.0,286.0,296.0,291.0,243.0,242.0,256.0,290.0,323.0,338.0,362.0,413.0,474.0,465.0,457.0,495.0,480.0,329.0,363.0,332.0,364.0,400.0,440.0,482.0
32,Chad,323.0,313.0,318.0,272.0,215.0,248.0,269.0,252.0,278.0,239.0,210.0,253.0,287.0,361.0,568.0,739.0,805.0,915.0,1073.0,934.0,1047.0,1162.0,1156.0,1180.0,1241.0,947.0,852.0,799.0,811.0,835.0
33,Chile,2504.0,2830.0,3386.0,3560.0,4036.0,5113.0,5346.0,5740.0,5441.0,4943.0,5054.0,4558.0,4450.0,4776.0,6202.0,7606.0,9477.0,10510.0,10758.0,10222.0,12790.0,14608.0,15307.0,15786.0,14645.0,13470.0,14576.0,16915.0,18264.0,19797.0
34,China,349.0,359.0,423.0,526.0,473.0,608.0,709.0,781.0,828.0,872.0,959.0,1053.0,1150.0,1293.0,1513.0,1766.0,2111.0,2703.0,3467.0,3838.0,4524.0,5583.0,6329.0,7081.0,7702.0,8167.0,8123.0,8583.0,9377.0,10121.0
35,Colombia,1653.0,1674.0,1942.0,2160.0,2666.0,2967.0,3067.0,3323.0,3021.0,2614.0,2479.0,2406.0,2370.0,2262.0,2764.0,3417.0,3750.0,4723.0,5496.0,5200.0,6305.0,7285.0,7931.0,8068.0,7938.0,6048.0,5792.0,6238.0,6472.0,6767.0
36,Comoros,542.0,581.0,615.0,597.0,391.0,477.0,464.0,419.0,416.0,421.0,375.0,399.0,447.0,565.0,612.0,646.0,659.0,738.0,819.0,801.0,789.0,860.0,815.0,873.0,881.0,733.0,745.0,777.0,837.0,868.0
37,"Congo, Democratic Republic of the",1043.0,981.0,857.0,1084.0,569.0,535.0,670.0,589.0,423.0,376.0,364.0,151.0,157.0,156.0,175.0,197.0,228.0,254.0,288.0,268.0,293.0,339.0,369.0,424.0,453.0,470.0,467.0,466.0,466.0,468.0
38,"Congo, Republic of",1261.0,1191.0,1251.0,1117.0,718.0,838.0,981.0,875.0,717.0,846.0,1127.0,954.0,1006.0,1138.0,1476.0,1886.0,2335.0,2192.0,2937.0,2624.0,3364.0,3951.0,3556.0,3561.0,3493.0,2067.0,1855.0,1794.0,1786.0,1772.0
39,Costa Rica,1874.0,2318.0,2688.0,2927.0,3105.0,3327.0,3265.0,3437.0,3639.0,3703.0,3928.0,4030.0,4108.0,4214.0,4471.0,4743.0,5296.0,6187.0,7003.0,6897.0,8301.0,9302.0,10099.0,10678.0,10696.0,11436.0,11836.0,11857.0,12145.0,12736.0
40,Côte d'Ivoire,962.0,900.0,919.0,828.0,605.0,777.0,834.0,786.0,824.0,788.0,666.0,677.0,730.0,880.0,927.0,933.0,947.0,1055.0,1229.0,1197.0,1195.0,1201.0,1221.0,1389.0,1531.0,1381.0,1466.0,1599.0,1774.0,1893.0
41,Croatia,,,2589.0,2804.0,3835.0,5028.0,5252.0,5244.0,5631.0,5133.0,4970.0,5410.0,6244.0,8049.0,9366.0,10224.0,11360.0,13544.0,15889.0,14142.0,13505.0,14538.0,13235.0,13574.0,13469.0,11637.0,12165.0,12863.0,13958.0,14600.0
42,Cyprus,10360.0,10414.0,12159.0,11342.0,12525.0,15397.0,15260.0,14325.0,15189.0,15380.0,14465.0,14904.0,16188.0,20389.0,23970.0,25527.0,27449.0,31775.0,36031.0,32636.0,31263.0,32693.0,29032.0,27792.0,27208.0,23105.0,23352.0,24741.0,26742.0,27623.0
43,Czech Republic,,,,,,5783.0,6492.0,5992.0,6453.0,6304.0,5998.0,6599.0,8028.0,9777.0,11687.0,13362.0,15206.0,18434.0,22819.0,19788.0,19831.0,21737.0,19740.0,19913.0,19769.0,17729.0,18508.0,19818.0,22468.0,23771.0
44,Denmark,26922.0,27060.0,29631.0,27643.0,30054.0,35478.0,35735.0,32901.0,33430.0,33492.0,30804.0,30812.0,33278.0,40520.0,46570.0,48876.0,52123.0,58641.0,64531.0,58287.0,58177.0,61864.0,58623.0,61326.0,62606.0,53237.0,53745.0,56335.0,60634.0,62617.0
45,Djibouti,,929.0,934.0,886.0,909.0,895.0,865.0,856.0,852.0,871.0,871.0,880.0,884.0,905.0,935.0,967.0,1021.0,1095.0,1236.0,1241.0,1307.0,1433.0,1523.0,1593.0,1691.0,1788.0,1903.0,2040.0,2187.0,2345.0
46,Dominica,2820.0,3087.0,3288.0,3449.0,3713.0,3855.0,4104.0,4254.0,4527.0,4658.0,4681.0,4775.0,4680.0,4826.0,5165.0,5127.0,5497.0,5940.0,6463.0,6904.0,6976.0,7082.0,6869.0,7096.0,7403.0,7564.0,8220.0,8592.0,8952.0,9260.0
47,Dominican Republic,1123.0,1365.0,1574.0,1742.0,1916.0,2141.0,2310.0,2495.0,2659.0,2675.0,2894.0,3007.0,3158.0,2461.0,2541.0,4008.0,4189.0,4803.0,5195.0,5151.0,5686.0,6057.0,6270.0,6343.0,6609.0,6833.0,7114.0,7361.0,7733.0,8126.0
48,Ecuador,1173.0,1287.0,1376.0,1573.0,1858.0,1980.0,2037.0,2253.0,2258.0,1599.0,1462.0,1909.0,2180.0,2435.0,2700.0,3025.0,3351.0,3588.0,4267.0,4242.0,4633.0,5193.0,5665.0,6031.0,6382.0,6154.0,5917.0,5876.0,5856.0,5876.0
49,Egypt,1871.0,924.0,825.0,907.0,979.0,1112.0,1222.0,1343.0,1469.0,1533.0,1643.0,1569.0,1357.0,1254.0,1195.0,1330.0,1563.0,1861.0,2270.0,2578.0,2922.0,3077.0,3383.0,3400.0,3524.0,3731.0,3685.0,,,
50,El Salvador,914.0,996.0,1103.0,1268.0,1459.0,1693.0,1819.0,1943.0,2078.0,2138.0,2238.0,2337.0,2409.0,2520.0,2633.0,2835.0,3061.0,3307.0,3508.0,3365.0,3477.0,3738.0,3829.0,3896.0,3990.0,4129.0,4227.0,4303.0,4498.0,4664.0
51,Equatorial Guinea,356.0,341.0,401.0,391.0,280.0,381.0,605.0,1115.0,905.0,1470.0,2230.0,3128.0,3738.0,6621.0,10154.0,13557.0,16229.0,20437.0,30014.0,22203.0,23412.0,29790.0,30408.0,28986.0,27584.0,15215.0,12399.0,11948.0,11457.0,11200.0
52,Eritrea,,,228.0,141.0,163.0,181.0,213.0,214.0,220.0,209.0,183.0,188.0,177.0,204.0,252.0,241.0,258.0,272.0,275.0,358.0,396.0,472.0,542.0,594.0,665.0,741.0,823.0,901.0,988.0,1083.0
53,Estonia,,,,1151.0,1649.0,2622.0,3329.0,3607.0,4035.0,4163.0,4072.0,4494.0,5309.0,7164.0,8835.0,10321.0,12577.0,16579.0,18144.0,14757.0,14652.0,17441.0,17398.0,19047.0,19962.0,17192.0,17786.0,19618.0,21964.0,23533.0
54,Ethiopia,269.0,288.0,293.0,176.0,152.0,153.0,155.0,152.0,134.0,128.0,130.0,126.0,117.0,121.0,139.0,165.0,198.0,249.0,334.0,398.0,361.0,379.0,504.0,548.0,628.0,721.0,795.0,861.0,927.0,994.0
55,Fiji,1809.0,1858.0,2039.0,2160.0,2392.0,2562.0,2747.0,2682.0,2105.0,2452.0,2111.0,2066.0,2278.0,2843.0,3325.0,3640.0,3731.0,4067.0,4335.0,3515.0,3827.0,4423.0,4632.0,4863.0,5180.0,5017.0,5357.0,5761.0,6114.0,6483.0
56,Finland,28507.0,25664.0,22490.0,17670.0,20434.0,26350.0,25828.0,24746.0,26054.0,26243.0,24347.0,24968.0,26959.0,32921.0,37748.0,39107.0,41240.0,48463.0,53785.0,47338.0,46392.0,50960.0,47553.0,49766.0,50088.0,42501.0,43482.0,45693.0,49207.0,51019.0
57,France,22600.0,22524.0,24726.0,23212.0,24398.0,27898.0,27871.0,25167.0,25952.0,25681.0,23318.0,23342.0,25226.0,30809.0,35154.0,36210.0,37900.0,43156.0,47273.0,43234.0,42249.0,45430.0,42333.0,44105.0,44572.0,37840.0,38178.0,39673.0,42419.0,43831.0
58,Gabon,6816.0,5993.0,6016.0,5678.0,4294.0,4957.0,5553.0,5068.0,4162.0,4223.0,4477.0,4062.0,4193.0,5006.0,5830.0,6936.0,7264.0,8640.0,10377.0,7834.0,8917.0,10891.0,9903.0,9761.0,9956.0,7754.0,7453.0,7584.0,8006.0,8423.0
59,Gambia,507.0,511.0,533.0,539.0,516.0,522.0,530.0,525.0,524.0,523.0,494.0,476.0,408.0,392.0,415.0,433.0,440.0,520.0,609.0,550.0,562.0,514.0,504.0,482.0,432.0,448.0,469.0,488.0,499.0,509.0
60,Georgia,,,,,168.0,398.0,655.0,770.0,801.0,628.0,689.0,731.0,777.0,924.0,1202.0,1522.0,1863.0,2479.0,3159.0,2694.0,2951.0,3711.0,4131.0,4267.0,4428.0,3762.0,3872.0,4123.0,4529.0,4884.0
61,Germany,20174.0,23372.0,26442.0,25570.0,27247.0,31908.0,30745.0,27257.0,27582.0,27055.0,24009.0,23950.0,25577.0,30786.0,34658.0,35240.0,37020.0,42531.0,46681.0,42576.0,42642.0,46853.0,44090.0,46545.0,48116.0,41345.0,42177.0,44184.0,47535.0,49181.0
